0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.license,dc.accessRights,terms of use,dc.rightsHolder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box,dc.coverage type=geospatial reference system
237,Mobile Message,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
243,Newsletter Article,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
245,Newspaper Article,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
246,Note,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
258,Pamphlet,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
259,briefing paper,0,1,required,recommended,optional,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
263,poster paper,0,1,required,recommended,optional,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
264,Project plan,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
274,Policy Brief,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
286,Press Release,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
290,experimental protocol,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
291,Questionnaire,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
295,Annual Report,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
299,Donor Report,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
302,Meeting report,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
308,Project Report,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
325,algorithm,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,recommended,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
326,script,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
343,Test,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
359,exercise,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
360,lesson,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
365,training manual,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
9,Ontology,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,recommended,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
14,authority file,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,required if applicable,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
37,interactive resource,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
341,Template,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
151,Book-Peer-reviewed,0,0,required,recommended,optional,not applicable,required,required,required if applicable,recommended,required,recommended,recommended,required,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
152,Textbook,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
159,Conference Abstract,0,1,required,recommended,optional,not applicable,required,required,required if applicable,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
161,Conference Paper not in proceedings,0,1,required,recommended,optional,not applicable,required,required,required if applicable,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,optional,optional,optional,optional,not applicable,optional,optional,optional,recommended,recommended,optional,not applicable
186,E-Mail,0,1,required,recommended,not applicable,not applicable,required,required,optional,recommended,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
348,Bachelor thesis,0,1,required,recommended,not applicable,not applicable,required,required,required if applicable,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,required,optional,optional,required if applicable,required,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,required if applicable,required if applicable,required if applicable,required if applicable,recommended,not applicable
349,Dissertation,0,1,required,recommended,not applicable,not applicable,required,required,required if applicable,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,required,optional,optional,required if applicable,required,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,required if applicable,required if applicable,required if applicable,required if applicable,recommended,not applicable
350,Master thesis,0,1,required,recommended,not applicable,not applicable,required,required,required if applicable,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,required,optional,optional,required if applicable,required,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,required if applicable,required if applicable,required if applicable,required if applicable,recommended,not applicable
93,Sound recording,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,recommended,required,recommended,required,required if applicable,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,recommended,recommended,optional,optional,optional,not applicable
36,cartographic,0,1,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,optional,required if applicable,recommended,recommended,recommended,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,recommended,recommended,optional,optional,required if applicable,required if applicable
266,Seminar paper,0,1,required,recommended,optional,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,optional,recommended,recommended,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
268,workshop paper,0,1,required,recommended,optional,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,optional,recommended,recommended,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
